"Date","Price","Open","High","Low","Vol.","Change %"
"02/23/2017","171.66","170.93","172.22","170.93","3.60M","0.42%"
"02/22/2017","170.95","171.19","171.44","170.23","3.56M","0.06%"
"02/21/2017","170.85","170.83","171.19","170.26","2.85M","0.01%"
"02/20/2017","170.84","170.60","171.06","170.52","2.30M","0.46%"
"02/17/2017","170.05","170.00","170.42","169.31","3.11M","0.05%"
"02/16/2017","169.97","170.41","170.78","169.01","2.39M","-0.31%"
"02/15/2017","170.50","169.59","170.56","169.55","2.65M","0.67%"
"02/14/2017","169.37","168.28","169.37","167.32","2.53M","0.72%"
"02/13/2017","168.16","168.47","168.79","168.06","2.27M","-0.09%"
"02/10/2017","168.31","168.86","168.94","167.85","2.72M","-0.27%"
"02/09/2017","168.76","168.49","169.59","168.03","3.24M","0.38%"
"02/08/2017","168.12","165.92","168.47","165.40","3.32M","1.58%"
"02/07/2017","165.50","162.96","165.75","162.96","2.85M","1.73%"
"02/06/2017","162.68","163.50","163.78","162.68","2.38M","-0.50%"
"02/03/2017","163.50","162.78","163.90","162.78","2.87M","0.59%"
"02/02/2017","162.54","163.45","163.77","162.54","3.09M","-0.64%"
"02/01/2017","163.59","162.03","163.95","162.03","2.88M","1.09%"
"01/31/2017","161.83","160.95","162.08","160.91","3.47M","0.50%"
"01/30/2017","161.02","161.61","161.80","160.40","2.45M","-0.37%"
"01/27/2017","161.62","162.21","162.32","160.89","2.24M","-0.42%"
"01/26/2017","162.30","161.30","162.40","161.02","3.54M","0.74%"
"01/25/2017","161.11","161.25","161.92","160.40","3.86M","0.07%"
"01/24/2017","160.99","162.54","162.74","160.99","2.99M","-0.78%"
"01/23/2017","162.25","161.19","162.25","161.00","3.00M","0.73%"
"01/20/2017","161.08","161.66","162.38","160.86","3.46M","-0.39%"
"01/19/2017","161.71","164.50","164.59","161.60","3.73M","-1.62%"
"01/18/2017","164.37","164.52","164.81","163.84","2.47M","-0.05%"
"01/17/2017","164.45","164.09","164.91","162.83","4.09M","0.20%"
"01/16/2017","164.12","164.39","164.83","163.47","2.80M","-0.49%"
"01/13/2017","164.92","165.75","166.01","164.57","5.47M","-0.39%"
"01/12/2017","165.57","166.75","166.91","165.41","2.83M","-0.75%"
"01/11/2017","166.82","166.72","167.44","166.67","2.09M","-0.01%"
"01/10/2017","166.84","166.70","167.16","166.26","2.42M","0.07%"
"01/09/2017","166.73","169.06","169.28","166.73","2.53M","-1.42%"
"01/06/2017","169.14","168.46","170.10","168.46","2.33M","0.40%"
"01/05/2017","168.46","167.30","168.64","166.84","2.45M","0.55%"
"01/04/2017","167.54","166.96","167.75","165.86","2.56M","0.32%"
"01/03/2017","167.01","170.01","170.07","166.53","2.55M","-1.53%"
"01/02/2017","169.61","168.87","170.18","168.57","1.16M","0.55%"
"12/30/2016","168.68","166.61","168.73","166.51","1.21M","1.21%"
"12/29/2016","166.67","165.26","166.67","164.45","1.52M","0.65%"
"12/28/2016","165.59","167.29","167.29","165.36","2.00M","-1.00%"
"12/27/2016","167.27","166.88","167.40","166.72","1.02M","0.31%"
"12/23/2016","166.75","165.62","167.34","165.43","1.13M","0.68%"
"12/22/2016","165.63","166.22","166.22","165.15","1.74M","-0.44%"
"12/21/2016","166.37","165.56","166.37","164.51","2.27M","0.40%"
"12/20/2016","165.70","165.49","166.24","165.42","3.09M","0.21%"
"12/19/2016","165.35","163.85","165.70","163.85","2.63M","0.90%"
"12/16/2016","163.87","162.08","164.10","162.08","5.27M","1.03%"
"12/15/2016","162.20","164.03","164.03","161.28","3.63M","-1.15%"
"12/14/2016","164.09","164.39","164.86","163.48","3.75M","-0.49%"
"12/13/2016","164.89","162.13","164.89","162.10","2.73M","1.66%"
"12/12/2016","162.19","164.22","164.22","160.75","2.84M","-1.37%"
"12/09/2016","164.45","160.88","164.69","160.71","2.88M","2.34%"
"12/08/2016","160.69","160.31","161.65","159.62","3.32M","0.42%"
"12/07/2016","160.01","158.39","160.59","158.39","3.46M","1.00%"
"12/06/2016","158.42","156.98","158.69","156.98","2.62M","1.09%"
"12/05/2016","156.71","158.02","158.95","156.71","2.64M","-0.60%"
"12/02/2016","157.65","156.49","158.65","156.49","2.75M","0.48%"
"12/01/2016","156.89","159.71","159.71","156.66","2.91M","-1.87%"
"11/30/2016","159.88","161.03","161.69","159.61","3.77M","-0.77%"
"11/29/2016","161.12","160.48","161.12","159.82","2.49M","0.20%"
"11/28/2016","160.80","159.59","160.95","159.09","2.48M","0.61%"
"11/25/2016","159.83","159.16","159.94","158.74","1.62M","0.31%"
"11/24/2016","159.33","159.49","159.97","158.67","1.51M","-0.03%"
"11/23/2016","159.37","159.33","160.74","159.02","2.59M","0.08%"
"11/22/2016","159.24","158.83","160.27","158.74","2.03M","0.61%"
"11/21/2016","158.27","158.66","159.17","157.28","2.56M","-0.29%"
"11/18/2016","158.73","159.61","159.96","158.62","2.70M","-0.39%"
"11/17/2016","159.35","157.12","159.35","157.12","2.58M","1.34%"
"11/16/2016","157.24","158.68","159.23","156.79","2.89M","-0.63%"
"11/15/2016","158.23","156.29","159.92","156.29","3.26M","1.48%"
"11/14/2016","155.92","157.97","158.85","155.55","3.13M","-1.13%"
"11/11/2016","157.70","156.51","158.93","156.51","3.30M","1.02%"
"11/10/2016","156.11","161.04","162.05","155.70","4.88M","-2.84%"
"11/09/2016","160.68","159.71","161.34","158.35","3.35M","-0.69%"
"11/08/2016","161.80","161.37","162.51","161.08","2.68M","0.28%"
"11/07/2016","161.35","159.97","161.58","159.97","2.17M","1.16%"
"11/04/2016","159.50","160.90","160.90","159.31","3.06M","-1.06%"
"11/03/2016","161.21","160.13","163.98","159.84","4.77M","0.56%"
"11/02/2016","160.31","159.35","161.22","158.91","2.93M","0.45%"
"11/01/2016","159.59","162.85","163.10","159.49","2.65M","-1.89%"
"10/31/2016","162.67","162.01","162.93","160.49","3.00M","0.39%"
"10/28/2016","162.04","161.29","162.55","159.28","3.39M","0.32%"
"10/27/2016","161.52","164.31","165.25","160.74","2.86M","-1.84%"
"10/26/2016","164.54","167.79","167.80","163.71","2.72M","-1.95%"
"10/25/2016","167.82","168.07","169.04","167.41","2.87M","-0.10%"
"10/24/2016","167.98","167.53","168.88","167.20","2.30M","0.45%"
"10/21/2016","167.22","167.76","167.82","166.41","2.42M","-0.26%"
"10/20/2016","167.65","165.78","167.95","165.61","2.37M","1.07%"
"10/19/2016","165.88","165.79","165.97","164.62","2.80M","-0.03%"
"10/18/2016","165.93","163.39","166.11","163.39","2.38M","1.97%"
"10/17/2016","162.73","164.22","164.22","162.72","2.41M","-0.98%"
"10/14/2016","164.34","163.65","164.80","163.13","3.07M","0.59%"
"10/13/2016","163.37","161.03","163.38","160.33","3.62M","1.43%"
"10/12/2016","161.06","162.41","162.71","161.06","3.32M","-0.78%"
"10/11/2016","162.33","163.39","164.04","162.33","3.11M","-0.72%"
"10/10/2016","163.51","163.10","163.93","162.25","3.40M","0.24%"
"10/07/2016","163.12","164.82","164.82","162.73","4.31M","-1.13%"
"10/06/2016","164.98","168.51","168.70","164.77","3.32M","-1.96%"
"10/05/2016","168.28","172.39","172.39","168.28","3.54M","-2.93%"
"10/04/2016","173.36","174.91","175.51","173.34","3.97M","-0.86%"
"10/03/2016","174.86","175.07","175.16","174.21","2.46M","-0.36%"
"09/30/2016","175.50","174.66","175.79","172.87","3.01M","0.24%"
"09/29/2016","175.08","177.23","177.85","174.83","2.38M","-0.97%"
"09/28/2016","176.79","177.00","177.84","176.37","1.61M","-0.01%"
"09/27/2016","176.81","176.03","176.81","174.26","2.25M","0.78%"
"09/26/2016","175.45","176.41","176.41","174.22","1.98M","-0.74%"
"09/23/2016","176.75","177.21","177.57","176.58","1.74M","-0.36%"
"09/22/2016","177.39","174.40","177.53","174.40","2.18M","2.15%"
"09/21/2016","173.66","175.46","176.15","173.51","2.25M","-0.64%"
"09/20/2016","174.77","173.34","175.59","173.27","2.93M","0.71%"
"09/19/2016","173.53","173.25","174.30","172.60","2.32M","0.53%"
"09/16/2016","172.61","172.88","173.40","172.12","6.05M","0.06%"
"09/15/2016","172.51","173.08","173.20","171.97","2.79M","-0.25%"
"09/14/2016","172.95","173.68","174.04","172.95","3.07M","-0.16%"
"09/13/2016","173.23","175.91","176.63","173.18","3.02M","-1.37%"
"09/12/2016","175.63","175.93","175.93","173.38","2.59M","-0.56%"
"09/09/2016","176.62","181.28","181.28","176.56","2.69M","-2.74%"
"09/08/2016","181.60","182.80","183.28","180.58","2.37M","-0.82%"
"09/07/2016","183.10","182.79","183.22","182.23","3.12M","0.15%"
"09/06/2016","182.83","182.59","182.94","182.29","2.28M","0.27%"
"09/05/2016","182.34","183.02","183.26","181.82","2.01M","-0.19%"
"09/02/2016","182.69","181.56","182.98","180.89","3.40M","0.66%"
"09/01/2016","181.49","180.46","182.72","180.42","2.78M","0.74%"
"08/31/2016","180.16","180.07","180.89","179.55","2.53M","0.18%"
"08/30/2016","179.84","180.35","181.51","179.79","1.75M","-0.01%"
"08/29/2016","179.86","179.62","179.98","178.49","1.40M","0.08%"
"08/26/2016","179.72","179.93","180.30","178.82","1.54M","-0.20%"
"08/25/2016","180.08","180.78","180.78","179.27","1.95M","-0.65%"
"08/24/2016","181.26","181.10","181.55","179.98","1.94M","0.01%"
"08/23/2016","181.24","179.62","181.75","179.62","1.92M","1.00%"
"08/22/2016","179.44","179.09","179.96","177.88","1.50M","0.31%"
"08/19/2016","178.89","179.62","179.88","178.20","1.73M","-0.50%"
"08/18/2016","179.79","178.47","179.95","178.47","1.50M","0.98%"
"08/17/2016","178.04","179.82","180.18","177.74","1.71M","-0.80%"
"08/16/2016","179.47","181.10","181.13","179.47","1.87M","-1.16%"
"08/15/2016","181.58","182.02","182.49","181.40","1.63M","-0.22%"
"08/12/2016","181.98","180.70","182.13","180.11","1.80M","0.65%"
"08/11/2016","180.80","181.09","181.65","179.79","1.97M","-0.06%"
"08/10/2016","180.91","180.54","181.46","179.46","1.99M","0.08%"
"08/09/2016","180.76","179.70","180.76","179.55","1.58M","0.38%"
"08/08/2016","180.07","180.91","181.68","179.57","1.87M","-0.45%"
"08/05/2016","180.89","180.13","181.09","180.02","2.09M","0.46%"
"08/04/2016","180.06","178.37","180.15","176.94","2.72M","1.13%"
"08/03/2016","178.05","179.23","179.64","177.71","2.11M","-0.63%"
"08/02/2016","179.17","180.46","180.77","178.57","2.70M","-0.85%"
"08/01/2016","180.71","181.25","182.16","180.06","2.07M","-0.12%"
"07/29/2016","180.93","179.10","180.93","179.10","2.64M","1.23%"
"07/28/2016","178.74","178.93","180.26","178.00","3.01M","-0.13%"
"07/27/2016","178.97","178.64","179.51","178.09","3.02M","0.29%"
"07/26/2016","178.45","177.97","179.17","177.60","2.36M","0.14%"
"07/25/2016","178.20","176.62","178.22","176.34","2.03M","1.04%"
"07/22/2016","176.37","175.44","176.67","174.85","2.04M","0.50%"
"07/21/2016","175.49","176.80","176.80","174.03","3.07M","-0.32%"
"07/20/2016","176.06","173.82","176.28","173.82","3.13M","1.33%"
"07/19/2016","173.75","172.10","173.87","171.51","2.39M","0.70%"
"07/18/2016","172.54","171.89","173.31","171.66","2.81M","0.28%"
"07/15/2016","172.05","172.28","173.40","171.38","2.81M","-0.16%"
"07/14/2016","172.33","171.86","173.01","171.84","3.09M","0.50%"
"07/13/2016","171.48","171.05","172.08","170.41","3.39M","0.35%"
"07/12/2016","170.89","171.49","173.27","170.53","4.34M","-0.25%"
"07/11/2016","171.32","167.57","171.49","167.57","3.30M","2.65%"
"07/08/2016","166.89","161.60","166.94","161.35","3.71M","2.89%"
"07/07/2016","162.21","161.19","164.07","161.19","4.16M","1.00%"
"07/06/2016","160.60","163.61","163.61","160.30","5.41M","-2.23%"
"07/05/2016","164.27","167.51","167.51","163.77","5.37M","-2.26%"
"07/04/2016","168.07","170.84","171.35","166.86","3.55M","-1.85%"
"07/01/2016","171.23","170.84","172.22","170.28","3.31M","0.38%"
"06/30/2016","170.59","169.53","170.71","168.38","5.11M","0.47%"
"06/29/2016","169.79","165.88","169.79","165.88","4.50M","2.83%"
"06/28/2016","165.12","161.60","166.32","161.60","5.21M","2.99%"
"06/27/2016","160.33","166.51","167.62","160.10","7.32M","-4.21%"
"06/24/2016","167.37","181.45","181.45","160.40","9.96M","-9.61%"
"06/23/2016","185.16","183.70","186.70","182.90","2.98M","1.06%"
"06/22/2016","183.21","183.20","184.60","183.00","3.07M","0.35%"
"06/21/2016","182.57","180.47","182.78","180.35","2.82M","1.25%"
"06/20/2016","180.31","173.94","180.31","173.94","2.67M","4.30%"
"06/17/2016","172.87","172.09","173.44","171.83","5.04M","0.89%"
"06/16/2016","171.34","172.30","173.43","170.63","3.40M","-1.09%"
"06/15/2016","173.23","172.65","174.57","172.65","2.23M","0.48%"
"06/14/2016","172.40","175.56","175.56","172.31","2.86M","-2.09%"
"06/13/2016","176.08","177.53","177.68","175.81","2.18M","-1.55%"
"06/10/2016","178.86","182.83","182.83","178.73","2.38M","-2.26%"
"06/09/2016","183.00","182.42","183.53","181.12","2.05M","0.04%"
"06/08/2016","182.93","182.32","183.32","181.52","1.88M","0.22%"
"06/07/2016","182.53","180.96","182.59","180.83","2.40M","1.11%"
"06/06/2016","180.52","179.76","180.83","179.75","1.78M","0.06%"
"06/03/2016","180.42","179.54","182.11","179.30","1.90M","0.61%"
"06/02/2016","179.32","179.85","179.91","178.32","2.21M","-0.36%"
"06/01/2016","179.97","181.43","181.75","178.76","2.90M","-0.94%"
"05/31/2016","181.68","183.86","183.86","181.64","3.63M","-1.17%"
"05/30/2016","183.83","183.78","184.15","183.59","2.07M","-0.01%"
"05/27/2016","183.84","182.72","183.84","181.92","2.46M","0.40%"
"05/26/2016","183.10","182.12","183.44","181.52","2.53M","0.39%"
"05/25/2016","182.38","183.43","183.83","182.08","2.34M","-0.24%"
"05/24/2016","182.81","179.02","182.96","178.04","2.52M","2.07%"
"05/23/2016","179.10","178.78","180.09","178.23","2.22M","0.19%"
"05/20/2016","178.76","177.29","178.76","177.12","2.48M","1.09%"
"05/19/2016","176.83","178.01","178.74","176.78","2.45M","-0.86%"
"05/18/2016","178.37","177.76","178.44","177.01","2.16M","0.07%"
"05/17/2016","178.25","177.93","180.06","177.93","2.10M","0.51%"
"05/16/2016","177.34","176.78","177.34","176.04","1.35M","-0.06%"
"05/13/2016","177.44","175.88","177.44","174.95","2.27M","0.76%"
"05/12/2016","176.11","176.98","177.27","175.36","2.13M","-0.55%"
"05/11/2016","177.08","179.05","179.26","176.76","1.78M","-1.26%"
"05/10/2016","179.34","180.14","181.25","178.99","2.00M","-0.08%"
"05/09/2016","179.49","177.67","180.43","177.67","1.94M","1.29%"
"05/06/2016","177.20","176.44","177.69","176.21","2.33M","0.32%"
"05/05/2016","176.64","175.57","176.79","175.57","1.78M","0.83%"
"05/04/2016","175.19","176.72","177.06","174.93","2.05M","-0.72%"
"05/03/2016","176.46","177.94","178.10","176.10","2.20M","-0.88%"
